Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_01_249.jpg;0;1;0;2.472833;102.8291;88.3178;1.283643;40.4262;0.01816721
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_01_315.jpg;0;1;0;2.514767;102.9458;88.41656;1.346602;40.41758;-0.002515592
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_01_382.jpg;0;1;0;2.571816;103.0639;88.51675;1.371618;40.41027;-0.001589915
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_01_449.jpg;0;1;0;2.615921;103.2238;88.65195;1.341052;40.38876;-0.001348585
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_01_516.jpg;0;1;0;2.660201;103.3465;88.75542;1.335186;40.37455;-0.0008091168
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_01_582.jpg;0;1;0;2.715055;103.4713;88.86064;1.348487;40.3564;-0.001348055
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_01_649.jpg;0;1;0;2.757329;103.6405;89.00329;1.35446;40.33856;-0.001380511
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_01_715.jpg;0;1;0;2.799785;103.7697;89.11207;1.352421;40.32521;-0.001389317
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_01_782.jpg;0;1;0;2.856172;103.9009;89.22252;1.357208;40.31241;-0.001308348
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_01_849.jpg;0;1;0;2.897206;104.0789;89.37222;1.363349;40.2943;-0.001439443
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_01_915.jpg;0;1;0;2.938882;104.2146;89.48631;1.364382;40.28195;-0.001444407
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_01_982.jpg;0;1;0;2.980413;104.3523;89.60198;1.366872;40.27061;-0.001008167
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_02_048.jpg;0;1;0;3.035264;104.4919;89.71922;1.37182;40.2552;-0.001472968
